asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:33,341 | PPO objective after epoch 44: 4.875100612640381
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:33,342 | Value loss (MSE loss) after epoch 44: 88917.6875
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:33,342 | Behavioral cloning loss (Bob loss) after epoch 44: 1.0500901937484741
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:33,405 | PPO objective after epoch 45: 5.84051513671875
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:33,405 | Value loss (MSE loss) after epoch 45: 80800.265625
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:33,405 | Behavioral cloning loss (Bob loss) after epoch 45: 1.0035679340362549
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:33,468 | PPO objective after epoch 46: 6.306583404541016
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:33,468 | Value loss (MSE loss) after epoch 46: 143889.984375
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:33,468 | Behavioral cloning loss (Bob loss) after epoch 46: 1.0499675273895264
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:33,530 | PPO objective after epoch 47: 22.356624603271484
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:33,531 | Value loss (MSE loss) after epoch 47: 1535935.5
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:33,531 | Behavioral cloning loss (Bob loss) after epoch 47: 1.0270508527755737
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:33,590 | PPO objective after epoch 48: 227.820556640625
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:33,590 | Value loss (MSE loss) after epoch 48: 334399872.0
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:33,591 | Behavioral cloning loss (Bob loss) after epoch 48: 0.9994352459907532
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:33,657 | PPO objective after epoch 49: 51.63237380981445
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:33,657 | Value loss (MSE loss) after epoch 49: 2484493.75
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:33,657 | Behavioral cloning loss (Bob loss) after epoch 49: 1.0244649648666382
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:33,722 | PPO objective after epoch 50: 30.720190048217773
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:33,722 | Value loss (MSE loss) after epoch 50: 5580226.0
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:33,722 | Behavioral cloning loss (Bob loss) after epoch 50: 1.0726317167282104
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:33,784 | PPO objective after epoch 51: 635.6630859375
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:33,784 | Value loss (MSE loss) after epoch 51: 3198676736.0
